,TV,radio,newspaper,sales
0,230.1,37.8,69.2,22.1
2,17.2,45.9,69.3,9.3
3,151.5,41.3,58.5,18.5
4,180.8,10.8,58.4,12.9
5,8.7,48.9,75.0,7.2
6,57.5,32.8,23.5,11.8
7,120.2,19.6,11.6,13.2
8,8.6,2.1,1.0,4.8
9,199.8,2.6,21.2,10.6
10,66.1,5.8,24.2,8.6
11,214.7,24.0,4.0,17.4
12,23.8,35.1,65.9,9.2
13,97.5,7.6,7.2,9.7
14,204.1,32.9,46.0,19.0
15,195.4,47.7,52.9,22.4
19,147.3,23.9,19.1,14.6
20,218.4,27.7,53.4,18.0
21,237.4,5.1,23.5,12.5
22,13.2,15.9,49.6,5.6
23,228.3,16.9,26.2,15.5
24,62.3,12.6,18.3,9.7
25,262.9,3.5,19.5,12.0
26,142.9,29.3,12.6,15.0
27,240.1,16.7,22.9,15.9
28,248.8,27.1,22.9,18.9
29,70.6,16.0,40.8,10.5
30,292.9,28.3,43.2,21.4
31,112.9,17.4,38.6,11.9
32,97.2,1.5,30.0,9.6
33,265.6,20.0,0.3,17.4
34,95.7,1.4,7.4,9.5
36,266.9,43.8,5.0,25.4
37,74.7,49.4,45.7,14.7
38,43.1,26.7,35.1,10.1
39,228.0,37.7,32.0,21.5
40,202.5,22.3,31.6,16.6
41,177.0,33.4,38.7,17.1
42,293.6,27.7,1.8,20.7
43,206.9,8.4,26.4,12.9
44,25.1,25.7,43.3,8.5
45,175.1,22.5,31.5,14.9
46,89.7,9.9,35.7,10.6
48,227.2,15.8,49.9,14.8
49,66.9,11.7,36.8,9.7
50,199.8,3.1,34.6,11.4
51,100.4,9.6,3.6,10.7
52,216.4,41.7,39.6,22.6
53,182.6,46.2,58.7,21.2
54,262.7,28.8,15.9,20.2
55,198.9,49.4,60.0,23.7
56,7.3,28.1,41.4,5.5
58,210.8,49.6,37.7,23.8
59,210.7,29.5,9.3,18.4
60,53.5,2.0,21.4,8.1
62,239.3,15.5,27.3,15.7
63,102.7,29.6,8.4,14.0
64,131.1,42.8,28.9,18.0
65,69.0,9.3,0.9,9.3
66,31.5,24.6,2.2,9.5
67,139.3,14.5,10.2,13.4
68,237.4,27.5,11.0,18.9
70,199.1,30.6,38.7,18.3
71,109.8,14.3,31.7,12.4
72,26.8,33.0,19.3,8.8
75,16.9,43.7,89.4,8.7
76,27.5,1.6,20.7,6.9
78,5.4,29.9,9.4,5.3
79,116.0,7.7,23.1,11.0
80,76.4,26.7,22.3,11.8
81,239.8,4.1,36.9,12.3
82,75.3,20.3,32.5,11.3
83,68.4,44.5,35.6,13.6
84,213.5,43.0,33.8,21.7
85,193.2,18.4,65.7,15.2
86,76.3,27.5,16.0,12.0
88,88.3,25.5,73.4,12.9
89,109.8,47.8,51.4,16.7
91,28.6,1.5,33.0,7.3
92,217.7,33.5,59.0,19.4
93,250.9,36.5,72.3,22.2
94,107.4,14.0,10.9,11.5
95,163.3,31.6,52.9,16.9
96,197.6,3.5,5.9,11.7
97,184.9,21.0,22.0,15.5
98,289.7,42.3,51.2,25.4
100,222.4,4.3,49.8,11.7
101,296.4,36.3,100.9,23.8
102,280.2,10.1,21.4,14.8
103,187.9,17.2,17.9,14.7
104,238.2,34.3,5.3,20.7
105,137.9,46.4,59.0,19.2
106,25.0,11.0,29.7,7.2
108,13.1,0.4,25.6,5.3
109,255.4,26.9,5.5,19.8
112,175.7,15.4,2.4,14.1
113,209.6,20.6,10.7,15.9
114,78.2,46.8,34.5,14.6
115,75.1,35.0,52.7,12.6
116,139.2,14.3,25.6,12.2
118,125.7,36.9,79.2,15.9
119,19.4,16.0,22.3,6.6
121,18.8,21.7,50.4,7.0
123,123.1,34.6,12.4,15.2
126,7.8,38.9,50.6,6.6
127,80.2,0.0,9.2,8.8
128,220.3,49.0,3.2,24.7
129,59.6,12.0,43.1,9.7
130,0.7,39.6,8.7,1.6
131,265.2,2.9,43.0,12.7
132,8.4,27.2,2.1,5.7
133,219.8,33.5,45.1,19.6
134,36.9,38.6,65.6,10.8
136,25.6,39.0,9.3,9.5
137,273.7,28.9,59.7,20.8
138,43.0,25.9,20.5,9.6
